Doraemon (Japan) (Rev A).nes,2
Tagin' Dragon (USA) (Unl).nes,0
Ski or Die (Europe).nes,1
Famicom Shougi - Ryuuousen (Japan).nes,0
Castlevania (Europe).nes,13
Uforce Power Games (USA) (Proto 1).nes,2
Bomber King (Japan).nes,1
Final Combat (Asia) (PAL) (Unl).nes,0
Rockball (Asia) (Unl).nes,0
Balloon Monster (Unknown) (Gluk Video) (Unl).nes,0
Dragon Ball Z III - Ressen Jinzou Ningen (Japan).nes,8
Kero Kero Keroppi no Daibouken (Japan).nes,0
Wacky Races (USA).nes,2
Darkwing Duck (USA).nes,4
David Crane's A Boy and His Blob - Trouble on Blobolonia (Europe).nes,0
Mouryou Senki Madara (Japan).nes,16
Kaettekita! Gunjin Shougi - Nanya Sore! (Japan).nes,3
Super Mogura Tataki!! - Pokkun Mogurar (Japan).nes,0
City Adventure Touch - Mystery of Triangle (Japan).nes,2
Super Xevious - Gump no Nazo (Japan).nes,3
Contra (USA).nes,1
Exciting Rally - World Rally Championship (Japan).nes,1
Bubble Bobble 2 (Japan).nes,3
Hell Fighter (Asia) (PAL) (Unl).nes,12
Taito Basketball (Japan).nes,9
Mega Man 3 (USA).nes,5
WWF Wrestlemania Challenge (Europe).nes,2
"Immortal, The (USA).nes",2
Quattro Adventure (USA) (Unl).nes,3
Holy Diver (Japan).nes,0
Field Combat (Japan).nes,3
Robert Byrne's Pool Challenge (USA) (Proto) (Unl).nes,10
Double Strike - Aerial Attack Force (USA) (v1.1) (Unl).nes,0
Lethal Weapon (Europe).nes,3
Ninja Ryuuken Den III - Yomi no Hakobune (Japan).nes,1
Adventures of Dino Riki (USA).nes,0
AV Hanafuda Club (Japan) (Unl).nes,0
Power Punch II (USA).nes,4
4 Nin Uchi Mahjong (Japan) (Rev A).nes,1
Vegas Connection - Casino kara Ai o Komete (Japan).nes,1
Operation Wolf (USA) (Rev 0A).nes,3
Salad no Kuni no Tomato Hime (Japan).nes,12
Takahashi Meijin no Bouken-jima II (Japan).nes,4
Buggy Popper (Japan).nes,1
3-D Block (Asia) (RCM Group) (Unl).nes,0
Batman Returns (USA).nes,4
TwinBee 3 - Poko Poko Daimaou (Japan) (Beta).nes,3
Clu Clu Land (USA) (GameCube Edition).nes,8
Dusty Diamond's All-Star Softball (USA).nes,5
Excitebike (Europe).nes,13
Ninja Cop Saizou (Japan).nes,5
Shin Satomi Hakken-Den - Hikari to Yami no Tatakai (Japan).nes,4
Predator (Australia).nes,1
"Magic of Scheherazade, The (USA).nes",16
Air Fortress (Europe).nes,0
Parasol Stars - Rainbow Islands II (Europe).nes,1
Chip 'n Dale - Rescue Rangers 2 (USA).nes,8
Abadox (Japan).nes,1
Pyramid II (Asia) (PAL) (Unl).nes,1
Family BASIC (Japan) (v2.1a).nes,6
Battletoads (Europe).nes,11
Spiritual Warfare (USA) (v6.0) (Unl).nes,8
Snake Rattle n Roll (USA).nes,8
Crazy Climber (Japan).nes,3
"Ultimate Air Combat (Europe) (En,Fr,De).nes",7
Bugs Bunny Fun House (USA) (Beta).nes,3
Jajamaru Ninpou Chou (Japan).nes,5
"Simpsons, The - Bart vs. the Space Mutants (USA).nes",0
Fleet Commander (Japan).nes,0
Street Heroes (Asia) (Unl).nes,35
Toxic Crusaders (USA).nes,0
Boulder Dash (Japan).nes,1
RoboCop (Europe).nes,3
Probotector II - Return of the Evil Forces (Europe).nes,0
